8800,86855,38715600,66378,89374,38715600,52091,89913,38715600,288791
8900,89322,39600550,64473,88848,39600550,54558,90951,39600550,480250
9000,91318,40495500,68137,91397,40495500,52630,91557,40495500,222372
9100,93258,41400450,80379,93263,41400450,58347,94218,41400450,459444
9200,96022,42315400,75783,95247,42315400,52675,96144,42315400,425371
9300,97733,43240350,70473,97311,43240350,62500,99011,43240350,462491
9400,99646,44175300,76882,99073,44175300,50036,99868,44175300,411095
9500,101447,45120250,71801,101525,45120250,55386,102685,45120250,365423
9600,103674,46075200,80975,103383,46075200,65491,104016,46075200,352405
9700,105675,47040150,74767,105608,47040150,68486,106145,47040150,240704
9800,107905,48015100,77761,108424,48015100,54643,108795,48015100,336060
9900,110429,49000050,74171,110219,49000050,61725,111002,49000050,344232
10000,112608,49995000,80221,113384,49995000,64457,113956,49995000,380572
10100,115980,50999950,74831,115783,50999950,54809,115813,50999950,360932
10200,117158,52014900,77172,116971,52014900,54458,117539,52014900,383391
10300,118963,53039850,75972,119123,53039850,61442,119829,53039850,482700
10400,122931,54074800,90139,122695,54074800,62294,122245,54074800,348587
10500,123999,55119750,82802,123564,55119750,58644,124843,55119750,727331
10600,126091,56174700,80254,126441,56174700,68951,127820,56174700,417605
10700,128555,57239650,82294,128269,57239650,60426,130421,57239650,240185
10800,131208,58314600,85066,130973,58314600,66154,131641,58314600,359732
10900,133897,59399550,83856,133303,59399550,65818,135791,59399550,296130
11000,136010,60494500,78499,135780,60494500,64444,136533,60494500,329981
11100,143781,61599450,86803,138057,61599450,63098,139624,61599450,487495
11200,140512,62714400,90145,140364,62714400,71188,141137,62714400,388460
11300,143155,63839350,103361,142757,63839350,68053,143881,63839350,593673
11400,145920,64974300,97827,145353,64974300,69641,146477,64974300,565456
11500,148125,66119250,92391,147813,66119250,67431,148861,66119250,528795
11600,151170,67274200,92745,150450,67274200,70853,151442,67274200,456853
11700,153221,68439150,87966,153076,68439150,76344,153790,68439150,282113
11800,155841,69614100,87763,156203,69614100,80462,156658,69614100,495176
